epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
47,1.000,1.000,35.494524,42.421458,0.006323,1.768148,0.688903,27.938580,32.974864,0.006365,1.770937,0.684244,1.00e-04
48,1.000,1.000,34.275860,40.896267,0.006346,1.769795,0.689668,27.804506,32.805753,0.006393,1.772500,0.683940,1.00e-04
49,1.000,1.000,33.759674,40.248525,0.006374,1.772213,0.689914,27.368557,32.260034,0.006417,1.773404,0.683363,1.00e-04
50,1.000,1.000,33.226031,39.581001,0.006399,1.772613,0.690099,26.945086,31.730707,0.006447,1.773387,0.683262,1.00e-04
51,1.000,1.000,32.533757,38.714803,0.006427,1.773133,0.691329,26.708663,31.434359,0.006474,1.774133,0.683448,1.00e-04
52,1.000,1.000,32.013966,38.064346,0.006456,1.773982,0.690685,26.145955,30.728503,0.006503,1.776600,0.683350,1.00e-04
53,1.000,1.000,31.040586,36.848330,0.006485,1.774064,0.687410,25.966465,30.506587,0.006532,1.774222,0.682957,1.00e-04
54,1.000,1.000,30.499521,36.172124,0.006518,1.773327,0.689726,25.488584,29.907473,0.006563,1.775970,0.682893,1.00e-04
55,1.000,1.000,29.816910,35.315649,0.006550,1.776050,0.691552,24.749209,28.981842,0.006588,1.777425,0.682626,1.00e-04
56,1.000,1.000,29.393479,34.785817,0.006566,1.777072,0.689574,24.438210,28.591559,0.006610,1.778913,0.682710,1.00e-04
57,1.000,1.000,29.055564,34.361658,0.006592,1.778887,0.689268,24.227588,28.327027,0.006635,1.780045,0.683107,1.00e-04
58,1.000,1.000,28.162510,33.247070,0.006621,1.777021,0.689703,24.159459,28.246223,0.006658,1.775840,0.682405,1.00e-04
59,1.000,1.000,27.568698,32.508455,0.006641,1.773257,0.690078,23.388196,27.283086,0.006683,1.774880,0.682383,1.00e-04
60,1.000,1.000,27.622721,32.575579,0.006668,1.774192,0.687842,23.436406,27.341090,0.006711,1.777027,0.682707,1.00e-04
61,1.000,1.000,27.076951,31.889535,0.006696,1.777665,0.689169,23.099490,26.917282,0.006739,1.779691,0.682602,1.00e-04
62,1.000,1.000,26.459310,31.114227,0.006723,1.781204,0.687932,22.776533,26.508385,0.006763,1.784882,0.682544,1.00e-04
63,1.000,1.000,26.083854,30.641524,0.006746,1.784545,0.688012,22.799821,26.536338,0.006785,1.786070,0.682334,1.00e-04
64,1.000,1.000,25.521176,29.937752,0.006769,1.784902,0.688189,22.525533,26.194929,0.006810,1.784639,0.682152,1.00e-04
65,1.000,1.000,24.818400,29.063918,0.006797,1.779873,0.689649,21.959911,25.496170,0.006835,1.776501,0.681526,1.00e-04
66,1.000,1.000,24.646423,28.851995,0.006817,1.776389,0.691314,21.634884,25.086147,0.006855,1.780273,0.681317,1.00e-04
67,1.000,1.000,24.098713,28.160911,0.006837,1.783279,0.689454,21.590572,25.021601,0.006876,1.789358,0.681520,1.00e-04
68,1.000,1.000,23.991485,28.015565,0.006859,1.794422,0.690041,21.298199,24.646430,0.006898,1.799052,0.681468,1.00e-04
69,1.000,1.000,23.328373,27.185520,0.006879,1.795617,0.689799,20.865785,24.112823,0.006922,1.792189,0.681188,1.00e-04
70,1.000,1.000,23.100721,26.910722,0.006906,1.786071,0.688802,20.609962,23.802471,0.006948,1.782824,0.680833,1.00e-04
71,1.000,1.000,22.680267,26.391206,0.006934,1.779741,0.689807,20.268848,23.381242,0.006970,1.777658,0.680759,1.00e-04
72,1.000,1.000,22.346385,25.977849,0.006954,1.775907,0.689085,20.236566,23.338566,0.006995,1.780018,0.680511,1.00e-04
73,1.000,1.000,22.075942,25.634412,0.006978,1.780991,0.690186,19.874712,22.884347,0.007016,1.781963,0.680254,1.00e-04
74,1.000,1.000,21.664279,25.118232,0.007000,1.782644,0.689886,19.557831,22.483994,0.007037,1.786291,0.679869,1.00e-04
