epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
47,1.000,1.000,49.482564,61.846878,0.006327,0.000000,0.000000,40.892948,51.109812,0.006372,0.000000,0.000000,1.00e-04
48,1.000,1.000,48.857571,61.065611,0.006352,0.000000,0.000000,40.810272,51.006439,0.006399,0.000000,0.000000,1.00e-04
49,1.000,1.000,48.644875,60.799708,0.006385,0.000000,0.000000,40.755788,50.938300,0.006434,0.000000,0.000000,1.00e-04
50,1.000,1.000,47.987204,59.977586,0.006419,0.000000,0.000000,40.695234,50.862576,0.006467,0.000000,0.000000,1.00e-04
51,1.000,1.000,47.583175,59.472516,0.006452,0.000000,0.000000,40.628556,50.779195,0.006500,0.000000,0.000000,1.00e-04
52,1.000,1.000,47.376151,59.213704,0.006483,0.000000,0.000000,40.563824,50.698255,0.006524,0.000000,0.000000,1.00e-04
53,1.000,1.000,47.002233,58.746284,0.006506,0.000000,0.000000,40.540931,50.669609,0.006552,0.000000,0.000000,1.00e-04
54,1.000,1.000,46.541198,58.169959,0.006537,0.000000,0.000000,40.493875,50.610754,0.006589,0.000000,0.000000,1.00e-04
55,1.000,1.000,46.349673,57.930516,0.006574,0.000000,0.000000,40.430784,50.531853,0.006626,0.000000,0.000000,1.00e-04
56,1.000,1.000,45.987191,57.477376,0.006611,0.000000,0.000000,40.399682,50.492949,0.006652,0.000000,0.000000,1.00e-04
57,1.000,1.000,46.120923,57.644512,0.006641,0.000000,0.000000,40.366424,50.451344,0.006685,0.000000,0.000000,1.00e-04
58,1.000,1.000,45.385309,56.724965,0.006671,0.000000,0.000000,40.334273,50.411126,0.006715,0.000000,0.000000,1.00e-04
59,1.000,1.000,45.560452,56.943865,0.006699,0.000000,0.000000,40.326916,50.401899,0.006744,0.000000,0.000000,1.00e-04
60,1.000,1.000,45.041355,56.294968,0.006725,0.000000,0.000000,40.292156,50.358429,0.006766,0.000000,0.000000,1.00e-04
61,1.000,1.000,45.056255,56.313571,0.006747,0.000000,0.000000,40.257238,50.314752,0.006796,0.000000,0.000000,1.00e-04
62,1.000,1.000,44.793745,55.985394,0.006785,0.000000,0.000000,40.223125,50.272074,0.006830,0.000000,0.000000,1.00e-04
63,1.000,1.000,44.604050,55.748245,0.006817,0.000000,0.000000,40.203521,50.247539,0.006862,0.000000,0.000000,1.00e-04
64,1.000,1.000,44.462901,55.571776,0.006850,0.000000,0.000000,40.188459,50.228681,0.006892,0.000000,0.000000,1.00e-04
65,1.000,1.000,44.325575,55.400086,0.006882,0.000000,0.000000,40.166277,50.200923,0.006923,0.000000,0.000000,1.00e-04
66,1.000,1.000,43.926323,54.900995,0.006907,0.000000,0.000000,40.130383,50.156028,0.006950,0.000000,0.000000,1.00e-04
67,1.000,1.000,43.805163,54.749515,0.006937,0.000000,0.000000,40.114183,50.135746,0.006982,0.000000,0.000000,1.00e-04
68,1.000,1.000,43.382110,54.220665,0.006972,0.000000,0.000000,40.120956,50.144179,0.007014,0.000000,0.000000,1.00e-04
69,1.000,1.000,43.480569,54.343710,0.006999,0.000000,0.000000,40.103973,50.122929,0.007037,0.000000,0.000000,1.00e-04
70,1.000,1.000,43.350179,54.180701,0.007022,0.000000,0.000000,40.062176,50.070659,0.007061,0.000000,0.000000,1.00e-04
71,1.000,1.000,43.269783,54.080179,0.007048,0.000000,0.000000,40.046141,50.050582,0.007092,0.000000,0.000000,1.00e-04
72,1.000,1.000,43.122863,53.896497,0.007081,0.000000,0.000000,40.037032,50.039166,0.007122,0.000000,0.000000,1.00e-04
73,1.000,1.000,42.936366,53.663345,0.007111,0.000000,0.000000,40.035490,50.037207,0.007155,0.000000,0.000000,1.00e-04
74,1.000,1.000,42.991328,53.732012,0.007147,0.000000,0.000000,40.028752,50.028757,0.007184,0.000000,0.000000,1.00e-04
75,1.000,1.000,42.876283,53.588183,0.007170,0.000000,0.000000,40.020483,50.018395,0.007206,0.000000,0.000000,1.00e-04
76,1.000,1.000,42.630478,53.280905,0.007192,0.000000,0.000000,40.011316,50.006909,0.007235,0.000000,0.000000,1.00e-04
77,1.000,1.000,42.298656,52.866096,0.007222,0.000000,0.000000,40.001247,49.994292,0.007265,0.000000,0.000000,1.00e-04
78,1.000,1.000,42.494802,53.111246,0.007256,0.000000,0.000000,39.999432,49.991992,0.007297,0.000000,0.000000,1.00e-04
79,1.000,1.000,42.111248,52.631772,0.007286,0.000000,0.000000,39.999783,49.992404,0.007324,0.000000,0.000000,1.00e-04
80,1.000,1.000,42.185261,52.724263,0.007313,0.000000,0.000000,39.973895,49.960018,0.007349,0.000000,0.000000,1.00e-04
81,1.000,1.000,42.101799,52.619913,0.007336,0.000000,0.000000,39.955813,49.937395,0.007371,0.000000,0.000000,1.00e-04
82,1.000,1.000,42.008255,52.502957,0.007361,0.000000,0.000000,39.947401,49.926852,0.007398,0.000000,0.000000,1.00e-04
83,1.000,1.000,41.883983,52.347590,0.007387,0.000000,0.000000,39.957475,49.939419,0.007424,0.000000,0.000000,1.00e-04
84,1.000,1.000,41.806809,52.251099,0.007412,0.000000,0.000000,39.954300,49.935423,0.007451,0.000000,0.000000,1.00e-04
