,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
M86,0.1495603,0.18581666,0.029725013,0.11159572,0.2126587,0.019852538,0.06895603,0.14683528,0.05984416,0.003908903,0.24497329,0.28730834,0.07692987,0.105502546,0.099546835,0.04598666,0.07442391,0.27479064,0.13768058,0.08256914,0.13841948,0.1151468,0.13725878,0.12773944
M63,0.11830531,0.12393311,0.12800422,0.14349742,0.08117415,0.08515156,0.13208282,0.16948162,0.06351154,0.09243477,0.13216369,0.12767018,0.13025074,0.03389965,0.147682,0.14360203,0.19828804,0.043033145,0.10962143,0.09889769,0.21874572,0.13176034,0.202562,0.019825164
M56,0.24148957,0.14686169,0.1328752,0.06046819,0.10556948,0.20808387,0.1409672,0.17307228,0.06365428,0.041716326,0.21742642,0.27531242,0.12079669,0.13319336,0.044494804,0.22260469,0.09007226,0.3790159,0.15476806,0.16839181,0.14416642,0.04855567,0.033069365,0.23797552
M8,0.20513855,0.24781261,0.06473704,0.09140405,0.2295785,0.03159595,0.08598022,0.10775682,0.014596325,0.156008,0.20265734,0.042254467,0.13362473,0.20101303,0.19520028,0.10823959,0.13543813,0.12763754,0.15412444,0.11535805,0.091266364,0.038826045,0.18627904,0.36734158
M72,0.117494546,0.16432798,0.1594953,0.2015368,0.0071897265,0.33988723,0.15116754,0.12234118,0.13321725,0.20740625,0.1568841,0.12967859,0.08020923,0.11685173,0.003739472,0.14898854,0.10072537,0.08363954,0.12016615,0.046938345,0.104237765,0.21239673,0.29030663,0.08009403
M38,0.08821485,0.15923445,0.20289798,0.043821447,0.33661377,0.22519736,0.09708781,0.0968341,0.1910685,0.18522479,0.06488077,0.3088804,0.22648555,0.14725186,0.20754454,0.1449492,0.1718388,0.11942715,0.069924116,0.18906519,0.09338745,0.16228831,0.19088124,0.12000284
M73,0.03005548,0.14646876,0.11915879,0.04410431,0.118227765,0.276955,0.10085127,0.20961756,0.18420406,0.112407975,0.12753159,0.008096242,0.2144687,0.027589248,0.11371305,0.073519245,0.26045626,0.059000082,0.18977717,0.19981962,0.1261136,0.06276129,0.10516441,0.025393326
M16,0.059012644,0.05228796,0.15438025,0.17899294,0.059273046,0.09144119,0.10714079,0.1683412,0.09231796,0.082339846,0.07195539,0.18797293,0.12804615,0.16981879,0.2704274,0.08529844,0.28524294,0.16877514,0.31528735,0.2250619,0.06138202,0.09686961,0.049468756,0.1482075
M59,0.17750257,0.0713717,0.04247163,0.06430513,0.17948397,0.16713269,0.045310963,0.040518306,0.037956048,0.08871821,0.09739759,0.054495413,0.19233687,0.10993739,0.27791905,0.10398405,0.13185829,0.12377309,0.15282694,0.10978959,0.111460224,0.12573224,0.06634422,0.09054225
M6,0.21269251,0.31946382,0.2551349,0.055735134,0.31266367,0.15338488,0.037919357,0.104609475,0.28622994,0.19583909,0.06286264,0.13883765,0.14811414,0.20706253,0.14168188,0.2919916,0.12207416,0.13792865,0.2844373,0.16672029,0.075435944,0.07304386,0.17589799,0.24709255
M62,0.019542988,0.03864177,0.100747705,0.02772988,0.123514645,0.1371248,0.15864263,0.13913092,0.13627633,0.18494405,0.019163731,0.21847245,0.21250191,0.18918864,0.15516204,0.1846893,0.12076984,0.09037832,0.09262871,0.10973713,0.0798187,0.1445758,0.06843203,0.12316039
M90,0.13469465,0.2854148,0.106686905,0.26269004,0.113836244,0.09054054,0.124293074,0.10751242,0.1282873,0.18185028,0.07177491,0.06570223,0.08687052,0.25137833,0.16200604,0.19858488,0.12435989,0.3363439,0.18584812,0.13120891,0.03608085,0.04890075,0.12528408,0.1915331
M4,0.08338203,0.24049036,0.11656807,0.15983197,0.13894321,0.12212068,0.11966431,0.083741225,0.09267592,0.08060962,0.2142922,0.13752224,0.15069903,0.17098998,0.11372051,0.17694019,0.13038927,0.22179376,0.23211528,0.03877247,0.10029964,0.045563806,0.03736059,0.062312823
M7,0.19785258,0.09504676,0.13152684,0.1732134,0.125584,0.08101496,0.08902235,0.20188138,0.058834773,0.06545583,0.1573111,0.101124324,0.23043914,0.088461265,0.20907721,0.12214881,0.10772463,0.2565312,0.07394484,0.13368075,0.21491076,0.08536693,0.04578605,0.15557027
M12,0.16497184,0.014181494,0.07339748,0.058411382,0.41528326,0.117678374,0.017650405,0.083768316,0.15648048,0.072239295,0.26646176,0.11398209,0.2473062,0.3547897,0.18811859,0.12668715,0.20596133,0.19113366,0.18626869,0.117514,0.07108393,0.08098703,0.04768961,0.08292329
M68,0.17979802,0.21176457,0.22958094,0.119128816,0.09362681,0.053852428,0.067489654,0.11829666,0.2611622,0.01944055,0.07658944,0.090450026,0.14863081,0.09293517,0.15755568,0.10470595,0.10923734,0.13301253,0.0754526,0.1987621,0.13434105,0.35280633,0.0499749,0.15090887
M36,0.100799926,0.18517692,0.1170494,0.069937006,0.19508408,0.32116726,0.1125181,0.10241103,0.08796647,0.103743955,0.09604536,0.22444738,0.26881722,0.32213497,0.46208727,0.053200085,0.28757548,0.14907573,0.24473405,0.08518764,0.21541128,0.17933416,0.25152183,0.09795222
M29,0.28575385,0.1881143,0.28117204,0.09439452,0.14239945,0.15453751,0.10457429,0.13448745,0.23772995,0.17532334,0.13977009,0.22560908,0.22758962,0.24886484,0.06998258,0.20155801,0.13452902,0.14773166,0.09707609,0.05772071,0.1258642,0.10895347,0.123466305,0.19076964
M55,0.17763388,0.032610536,0.11057117,0.07334536,0.3150291,0.1558146,0.19045936,0.20387495,0.15410578,0.21434054,0.25784063,0.10129855,0.305774,0.33020768,0.09241448,0.09674462,0.14731598,0.032739513,0.19836415,0.14289704,0.17156419,0.03836963,0.14952488,0.18656984
M77,0.16801395,0.25931883,0.18389116,0.1859671,0.19692805,0.20390691,0.16954266,0.1920719,0.12388073,0.1292002,0.06356001,0.1963345,0.07616632,0.06708204,0.3646316,0.2739027,0.094100356,0.15494743,0.30604392,0.05535109,0.14456025,0.17919141,0.23600286,0.22509138
