2026-08-13 13:40:40,822 | ============================================================
2026-08-13 13:40:40,822 | BRICK Training -- ablation_3_batch_size_4/ablation_no_control_no_ic
2026-08-13 13:40:40,822 | N_ROIS=24, M=96, H=4, T=240
2026-08-13 13:40:40,822 | Epochs=3000, LR=0.0001, WD=0.05, LAMBDA_NOISE=0.01, BATCH_SIZE=4, BETA=0.2, EPSILON=1.0
2026-08-13 13:40:40,823 | cls_regression_threshold=0.3, use_control=False, use_ic=False
2026-08-13 13:40:40,823 | KL annealing: g0 over 0 epochs, u delayed 0 then over 0 epochs
2026-08-13 13:40:40,823 | Split mode: random split_dataset(seed=42)
2026-08-13 13:40:40,823 | ============================================================
2026-08-13 13:40:40,823 | Loading dataset...
2026-08-13 13:40:40,874 | Split: 52 train | 4 val | 20 test items
2026-08-13 13:40:40,898 | Model parameters: 554,702
2026-08-13 13:40:40,898 | Starting training...
2026-08-13 13:40:41,383 | Epoch    1/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-04 [PREOVERFIT-UPDATE]
2026-08-13 13:41:31,837 | Epoch  190/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:41:34,493 | Epoch  200/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:41:37,138 | Epoch  210/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:41:39,813 | Epoch  220/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:41:42,499 | Epoch  230/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:41:45,179 | Epoch  240/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:41:47,847 | Epoch  250/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:41:50,499 | Epoch  260/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:41:53,195 | Epoch  270/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:41:55,862 | Epoch  280/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:41:58,530 | Epoch  290/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:01,184 | Epoch  300/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:03,865 | Epoch  310/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:06,560 | Epoch  320/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:09,274 | Epoch  330/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:11,936 | Epoch  340/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:14,589 | Epoch  350/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:17,267 | Epoch  360/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:19,963 | Epoch  370/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:22,656 | Epoch  380/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:25,314 | Epoch  390/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:28,012 | Epoch  400/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:30,686 | Epoch  410/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:33,417 | Epoch  420/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:36,094 | Epoch  430/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:38,835 | Epoch  440/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:41,527 | Epoch  450/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
2026-08-13 13:42:44,365 | Epoch  460/3000 | kl_g0_w=1.00 kl_u_w=1.00 | train=39.8333 (recon=49.7917, kl_g0=0.0000, kl_u=0.0000, cls=0.0000) | val=39.8333 | lr=1.00e-06
