epoch,kl_g0_weight,kl_u_weight,train_loss_total,train_loss_recon,train_loss_kl_g0,train_loss_kl_u,train_loss_cls,val_loss_total,val_loss_recon,val_loss_kl_g0,val_loss_kl_u,val_loss_cls,lr
47,1.000,1.000,25.284452,29.560841,0.000000,1.698073,1.386604,29.197285,34.453469,0.000000,1.697705,1.381729,1.00e-04
48,1.000,1.000,25.084718,29.307965,0.000000,1.701064,1.387471,28.984683,34.185517,0.000000,1.700084,1.381001,1.00e-04
49,1.000,1.000,24.984292,29.180468,0.000000,1.703248,1.386593,28.606402,33.709502,0.000000,1.703265,1.380944,1.00e-04
50,1.000,1.000,24.827683,28.981950,0.000000,1.706423,1.384920,28.793817,33.940700,0.000000,1.706150,1.381689,1.00e-04
51,1.000,1.000,24.338397,28.367558,0.000000,1.709417,1.384085,27.595003,32.439321,0.000000,1.708816,1.382466,1.00e-04
52,1.000,1.000,24.229941,28.229565,0.000000,1.711905,1.383822,27.432952,32.234595,0.000000,1.711015,1.382318,1.00e-04
53,1.000,1.000,23.959773,27.888783,0.000000,1.715043,1.383561,27.803828,32.694077,0.000000,1.715064,1.382577,1.00e-04
54,1.000,1.000,23.753125,27.627309,0.000000,1.717944,1.384611,27.496035,32.306631,0.000000,1.717700,1.382848,1.00e-04
55,1.000,1.000,23.679027,27.532000,0.000000,1.720736,1.384191,27.141076,31.861439,0.000000,1.719312,1.382374,1.00e-04
56,1.000,1.000,23.535340,27.350842,0.000000,1.721970,1.385450,27.117745,31.831472,0.000000,1.720049,1.382643,1.00e-04
57,1.000,1.000,23.228441,26.966770,0.000000,1.722670,1.384441,27.107147,31.816278,0.000000,1.721850,1.383218,1.00e-04
58,1.000,1.000,22.933030,26.595066,0.000000,1.724877,1.385375,26.580683,31.156103,0.000000,1.723896,1.383419,1.00e-04
59,1.000,1.000,22.770344,26.390484,0.000000,1.726476,1.383876,27.090622,31.791519,0.000000,1.725859,1.383597,1.00e-04
60,1.000,1.000,22.900869,26.551925,0.000000,1.727831,1.385323,27.138675,31.851483,0.000000,1.725926,1.383731,1.00e-04
61,1.000,1.000,22.701623,26.301951,0.000000,1.729398,1.382715,26.453035,30.991592,0.000000,1.728622,1.384316,1.00e-04
62,1.000,1.000,22.318477,25.820761,0.000000,1.731187,1.384590,26.088768,30.534704,0.000000,1.730187,1.384271,1.00e-04
63,1.000,1.000,22.077841,25.517990,0.000000,1.733413,1.383594,25.946987,30.354303,0.000000,1.733486,1.383779,1.00e-04
64,1.000,1.000,21.888766,25.279756,0.000000,1.735666,1.382142,26.036998,30.466176,0.000000,1.734166,1.383626,1.00e-04
65,1.000,1.000,21.852119,25.232965,0.000000,1.736160,1.384092,25.516943,29.816233,0.000000,1.734106,1.383365,1.00e-04
66,1.000,1.000,21.531295,24.832312,0.000000,1.735760,1.384190,25.441572,29.722102,0.000000,1.733953,1.383635,1.00e-04
67,1.000,1.000,21.495908,24.787482,0.000000,1.736247,1.384621,25.234959,29.462947,0.000000,1.734910,1.383363,1.00e-04
68,1.000,1.000,21.149554,24.355364,0.000000,1.736148,1.381719,25.312238,29.560330,0.000000,1.733964,1.384011,1.00e-04
69,1.000,1.000,21.026638,24.201297,0.000000,1.735962,1.384150,24.622066,28.697989,0.000000,1.733520,1.384293,1.00e-04
70,1.000,1.000,20.752581,23.859359,0.000000,1.734925,1.385772,24.301333,28.299351,0.000000,1.731264,1.384198,1.00e-04
71,1.000,1.000,20.808762,23.932228,0.000000,1.732864,1.383443,24.054092,27.992245,0.000000,1.729216,1.384619,1.00e-04
72,1.000,1.000,20.592679,23.663364,0.000000,1.732019,1.381864,24.134785,28.091211,0.000000,1.731065,1.384820,1.00e-04
73,1.000,1.000,20.429477,23.456580,0.000000,1.733900,1.385462,24.101923,28.049161,0.000000,1.732066,1.384705,1.00e-04
74,1.000,1.000,20.439402,23.469494,0.000000,1.734001,1.383033,24.178295,28.144161,0.000000,1.732582,1.384500,1.00e-04
75,1.000,1.000,20.190759,23.159306,0.000000,1.733856,1.381148,23.792347,27.662900,0.000000,1.731345,1.384756,1.00e-04
76,1.000,1.000,20.089591,23.031664,0.000000,1.734147,1.384705,23.477048,27.267153,0.000000,1.733049,1.384429,1.00e-04
77,1.000,1.000,19.823109,22.698165,0.000000,1.734552,1.384674,23.331820,27.086612,0.000000,1.732123,1.384150,1.00e-04
78,1.000,1.000,19.732013,22.585740,0.000000,1.733329,1.383786,23.501673,27.300162,0.000000,1.730889,1.384159,1.00e-04
79,1.000,1.000,19.591549,22.410163,0.000000,1.733756,1.382072,23.330604,27.084593,0.000000,1.732701,1.383841,1.00e-04
80,1.000,1.000,19.473614,22.261359,0.000000,1.734796,1.383451,23.059066,26.744527,0.000000,1.733425,1.383518,1.00e-04
81,1.000,1.000,19.354984,22.112736,0.000000,1.735328,1.382662,23.233853,26.963317,0.000000,1.733128,1.383479,1.00e-04
82,1.000,1.000,19.230847,21.958658,0.000000,1.734639,1.381047,22.758983,26.371016,0.000000,1.731719,1.383974,1.00e-04
83,1.000,1.000,19.067901,21.756596,0.000000,1.733344,1.379743,22.497440,26.045018,0.000000,1.730789,1.383972,1.00e-04
84,1.000,1.000,19.008947,21.680706,0.000000,1.734496,1.383922,22.390587,25.906991,0.000000,1.735227,1.384064,1.00e-04
85,1.000,1.000,18.750952,21.355045,0.000000,1.737731,1.383652,22.308282,25.803849,0.000000,1.735622,1.383521,1.00e-04
86,1.000,1.000,18.693321,21.283503,0.000000,1.737249,1.383596,22.098281,25.541322,0.000000,1.735647,1.383525,1.00e-04
87,1.000,1.000,18.594909,21.160445,0.000000,1.737416,1.383096,22.094938,25.537121,0.000000,1.735608,1.383770,1.00e-04
88,1.000,1.000,18.457667,20.988540,0.000000,1.737560,1.383931,21.722620,25.072463,0.000000,1.734827,1.383937,1.00e-04
