roi,n_entries,pct_instantaneous_C,pct_accumulated_K,var_total
lh_Ca,38,98.75208866737536,1.2505925747897584,36.856117
lh_GPe,38,99.14736613808267,0.8519434767762845,37.067886
lh_GPi,38,99.03625813815644,0.9652006083695263,37.017155
lh_Pu,38,99.38714231882167,0.6106869899588361,36.35257
lh_STH,38,99.15316726710908,0.8463343034263645,37.235775
lh_cerebellum_dentate,38,99.05699345209376,0.9429147937838711,37.387867
lh_cerebellum_motor,38,98.41516477118927,1.5900013650712457,37.033012
lh_paracentral_smooth3mm,38,98.28789449139232,1.7190003440202644,36.289654
lh_postcentral_smooth3mm,38,97.31546961210452,2.69813257460492,37.34869
lh_precentral_smooth3mm,38,96.3364907596478,3.6849488337500724,37.148514
lh_superiorfrontal_smooth3mm,38,98.20637510757943,1.7997879540383708,36.765682
lh_vim,38,99.33173455437456,0.6663055463518847,36.82157
lh_zi,38,99.16558112532216,0.834446263049102,37.265205
rh_Ca,38,98.76024404828841,1.2427754755508134,36.724228
rh_GPe,38,98.82114189214734,1.1814938131834891,36.09063
rh_GPi,38,99.38510673200305,0.6126607470054397,36.86436
rh_Pu,38,99.49604152210227,0.499922997443483,36.379032
rh_STH,38,99.33711086055149,0.6613732452852349,36.869884
rh_cerebellum_dentate,38,99.41449624460039,0.5822800470079059,36.683277
rh_cerebellum_motor,38,97.77811947878583,2.230890665404982,36.867397
rh_paracentral_smooth3mm,38,98.16287918877694,1.8454182948791338,36.999825
rh_postcentral_smooth3mm,38,97.39694844364324,2.615914356376572,36.640003
rh_precentral_smooth3mm,38,97.05766113452135,2.958494375375513,37.03436
rh_superiorfrontal_smooth3mm,38,98.39348740344144,1.6111981230971564,36.953186
